eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment
197001050001,1970,1,1,,0,,217,United States,1,North America,Wisconsin,Baraboo,43.4685,-89.744299,1,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,0,0,3,Bombing/Explosion,,,,,4,Military,27,Military Barracks/Base/Headquarters/Checkpost,,Badger Army ammo depot.,217,United States,,,,,,,,,,,,,,,,,"Weather Underground, Weathermen",,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,0,3,Minor (likely < $1 million),0,
197001060001,1970,1,6,,0,,217,United States,1,North America,Colorado,Denver,39.758968,-104.876305,1,0,,"1/6/1970: Unknown perpetrators threw a Molotov cocktail into an Army Recruiting Station in Denver, Colorado, United States.  There were no casualties but damages to the station were estimated at $305.",1,1,1,1,2,Other Crime Type,0,1,0,7,Facility/Infrastructure Attack,,,,,4,Military,28,Military Recruiting Station/Academy,Army Recruiting Station,"Army Recruiting Station, Denver Colorado",217,United States,,,,,,,,,,,,,,,,,Left-Wing Militants,,,,,,Protest the draft and Vietnam War,0,,,0,-99,-99,0,,,,,,,,,,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Molotov cocktail,0,0,0,0,0,0,1,3,Minor (likely < $1 million),305,
197001080001,1970,1,8,,0,,98,Italy,8,Western Europe,Lazio,Rome,41.890961,12.490069,1,0,,,1,1,1,-9,,,0,1,0,4,Hijacking,,,,,6,Airports & Aircraft,42,Aircraft (not at an airport),Trans World Airline,Flight 802 Boeing 707,217,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,1,,,,,,,,,,,,5,Firearms,4,Rifle/Shotgun (non-automatic),5,Firearms,3,Handgun,,,,,,,,,Rifle - carbine, Pistols,0,0,0,0,0,0,0,,,
197001090001,1970,1,9,,0,,217,United States,1,North America,Michigan,Detroit,42.331685,-83.047924,1,0,,"1/9/1970: Unknown perpetrators set off a firebomb at the Packard Properties building in Detroit, Michigan, United States.  The facility housed federal employees.  The building was damaged but there were no casualties.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,2,Government (General),21,Government Building/Facility/Office,U.S. Government housing,Packard Properties building of Detroit Michigan,217,United States,,,,,,,,,,,,,,,,,Left-Wing Militants,,,,,,,0,,,0,-99,-99,0,,,,,,,,,,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Firebomb,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,Building was damaged
197001090002,1970,1,9,,0,,217,United States,1,North America,Puerto Rico,Rio Piedras,18.386932,-66.061127,1,0,Caparra Shopping Center,"1/9/1970:  The Armed Commandos of Liberation claimed credit for setting a fire at the Baker's Store in Rio Piedras, Puerto Rico.  There were no casualties but the store was destroyed at a cost of $2,000,000.",1,1,1,1,2,Other Crime Type,0,1,0,7,Facility/Infrastructure Attack,,,,,1,Business,7,Retail/Grocery/Bakery,American owned business in Puerto Rico,Baker's Store,217,United States,,,,,,,,,,,,,,,,,Armed Commandos of Liberation,,,,,,To protest United States owned businesses in Puerto Rico,1,,,0,-99,-99,1,10,Unknown,,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,Fire set in back of store,0,0,0,0,0,0,1,2,Major (likely >= $1 million but < $1 billion),2000000,Store destroyed
197001100001,1970,1,10,,0,,499,East Germany (GDR),9,Eastern Europe,Berlin,Berlin,52.50153,13.401851,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,2,Government (General),,,,Jurists Ball (Palais au Frankturm),75,Germany,,,,,,,,,,,,,,,,,Commune 1,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,,,,,,,0,,,,"Damages: none, attempted to detonate device and were unsuccessful (Jurists Ball)"
197001110001,1970,1,11,,0,,65,Ethiopia,11,Sub-Saharan Africa,Unknown,Unknown,,,5,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,9,Unknown,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",U.S. Army,Soldier,217,United States,,,,,,,,,,,,,,,,,Eritrean Liberation Front,,,,,,,0,,,0,1,,,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,1,,,0,,,0,,,,
197001120001,1970,1,12,,0,,217,United States,1,North America,New York,New York City,40.697132,-73.931351,1,0,Brooklyn,"1/12/1970: Unknown perpetrators threw a pipe bomb into the vacant dean's office of James Madison High School in Brooklyn, New York, United States.  There were no casualties but the explosion caused minor damages.  Earlier in the day anti-war and pro-Black Panther statements were discovered painted outside the walls of the school.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,8,Educational Institution,49,School/University/Educational Building,High School,James Madison High School,217,United States,,,,,,,,,,,,,,,,,Black Nationalists,,,,,,Suspected motives were to protest the Vietnam War and/or show support for the Black Panther Party and/or show support for the Young Lords.,0,,,0,-99,-99,0,,,,,,,,,,6,Explosives,31,Pipe Bomb,,,,,,,,,,,,,Crudely made pipe bomb.  Five inches long and a half inch thick filled with gunpowder that was connected to a fuse.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,Damaged a blackboard and shattered a pane of glass.
197001120002,1970,1,12,,0,,217,United States,1,North America,Puerto Rico,Rio Grande,18.379998,-65.830948,1,0,,"1/12/1970: Unknown perpetrators detonated a bomb at a General Electric factory in Rio Grande, Puerto Rico during a strike.  There were no casualties and it is unknown if the factory sustained any damages.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,1,Business,4,Multinational Corporation,General Electric,General Electric factory in Rio Grande Puerto Rico,217,United States,,,,,,,,,,,,,,,,,Strikers,,,,,,,0,,,0,-99,-99,0,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Bomb,0,0,0,0,0,0,-9,4,Unknown,,
197001130001,1970,1,13,,0,,217,United States,1,North America,Washington,Seattle,47.610786,-122.331306,1,0,,"1/13/1970: Unknown perpetrators firebombed Fuson's Department Store in Seattle, Washington, United States.  There were no casualties but the store sustained an estimated $17,000 in damages.  Less than a week earlier, the store owner shot and killed an African American male attempting to rob the store.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,1,Business,7,Retail/Grocery/Bakery,Fuson's Department Store,"Fuson's Department Store, Seattle Washington",217,United States,,,,,,,,,,,,,,,,,Black Nationalists,,,,,,Retaliation for the store owner who shot and killed an African American attempting to commit a robbery at his store.,0,,,0,-99,-99,0,,,,,,,,,,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Firebomb,0,0,0,0,0,0,1,3,Minor (likely < $1 million),17000,
197001140001,1970,1,14,,0,,217,United States,1,North America,Illinois,Champaign,40.116748,-88.23927,1,0,Champaign Police Department,"1/14/1970: Suspected Black militants threw two firebombs into the Champaign Police Department in Champaign, Illinois, United States.  The building was damaged and one police officer was severely burned.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,3,Police,22,"Police Building (headquarters, station, school)",Police Department,Champaign Police Department,217,United States,,,,,,,,,,,,,,,,,Black Nationalists,,,,,,,0,,,0,-99,-99,0,,,,,,,,,,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Firebomb thrown through window,0,0,0,1,1,0,1,3,Minor (likely < $1 million),,
197001150001,1970,1,15,,0,,218,Uruguay,3,South America,Montevideo,Montevideo,-34.891151,-56.187214,1,0,,,1,1,1,0,,,0,1,0,2,Armed Assault,,,,,8,Educational Institution,49,School/University/Educational Building,,"Secondary School, Chemistry Lab",218,Uruguay,,,,,,,,,,,,,,,,,Tupamaros (Uruguay),,,,,,,0,,,0,5,,,,,,,,,,,,5,Firearms,2,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,Automatic firearms,0,,,0,,,1,3,Minor (likely < $1 million),2500,
197001190002,1970,1,19,,0,,217,United States,1,North America,Washington,Seattle,47.610786,-122.331306,1,0,Seattle University,"1/17/1970: Three African Americans were suspected of detonating a bomb on the Seattle University campus in Seattle, Washington, United States.  There were no casualties but the Liberal Arts and Garrand buildings sustained $2,200 in damages.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,8,Educational Institution,49,School/University/Educational Building,Seattle University,"Liberal Arts and Garrand buildings, Seattle University",217,United States,,,,,,,,,,,,,,,,,Black Nationalists,,,,,,The incident took place during disturbances between the Black Student Union and the university.,1,,,0,3,-99,0,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),2200,Windows were shattered at the Liberal Arts and Garrand Buildings.
197001190003,1970,1,19,,0,,217,United States,1,North America,Washington,Seattle,47.610786,-122.331306,1,0,,"1/17/1970: Silas and Judith Bissell placed an explosive device in the vicinity of the Air Force R.O.T.C. at the University of Washington campus in Seattle, Washington, United States.  The device was discovered and subsequently disarmed.",1,1,1,0,,,0,0,0,3,Bombing/Explosion,,,,,4,Military,28,Military Recruiting Station/Academy,R.O.T.C.,Air Force R.O.T.C. at the University of Washington,217,United States,,,,,,,,,,,,,,,,,Student Radicals,,,,,,The incident took place during heightened antiwar sentiments in Seattle Washington.,0,,,0,2,2,0,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,
197001190004,1970,1,19,"January 19-20, 1970",0,,217,United States,1,North America,New Jersey,Jersey City,40.717892,-74.067467,1,0,Front of building,"1/19/1970: Unknown perpetrators ignited a fire at the Black Panther Party headquarters in Jersey City, New Jersey, United States.  Two hours later shots were fired at the building.  There were no casualties but the building sustained minor damages.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,2,Armed Assault,,,22,Violent Political Party,110,Party Office/Facility,Black Panther Party,Headquarters,217,United States,,,,,,,,,,,,,,,,,White extremists,,,,,,Intimidate the Black Panther Party.,0,,,0,-99,-99,0,,,,,,,,,,8,Incendiary,18,Arson/Fire,5,Firearms,5,Unknown Gun Type,,,,,,,,,Gasoline was placed on the steps of the building and set on fire.  Between 10-30 shots were fired.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,The fire caused minor damages to the door and the front of the building.  The created caused holes in the door and the cardboard that was covering the windows.
197001200001,1970,1,20,,0,,83,Guatemala,2,Central America & Caribbean,Guatemala,Guatemala City,14.622869,-90.529068,1,0,,,1,1,1,0,,,0,1,0,1,Assassination,,,,,7,Government (Diplomatic),46,Embassy/Consulate,British consulate,"Bodyguard, British Consul",216,Great Britain,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,1,,,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,1,,,0,,,0,,,,
197001210001,1970,1,21,,0,,160,Philippines,5,Southeast Asia,Metropolitan Manila,Quezon City,14.67428,121.057495,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,7,Government (Diplomatic),46,Embassy/Consulate,,JUSMAG HQ,217,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,15,Vehicle,,,,,,,,,,,,,Explosive,0,,,0,,,1,3,Minor (likely < $1 million),5000,
197001220001,1970,1,22,,0,,222,Venezuela,3,South America,Caracas,Caracas,10.482834,-66.962128,1,0,,,1,1,1,0,,,0,1,0,6,Hostage Taking (Kidnapping),,,,,1,Business,7,Retail/Grocery/Bakery,Father owned chain of dept stores,"Leon Jacobo Taurel, son",222,Venezuela,,,,,,,,,,,,,,,,,Armed Forces of National Liberation- Venezuela (FALN),,,,,,,0,,,0,3,,,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,0,,,0,,,0,,,,
197001220002,1970,1,22,,0,,217,United States,1,North America,Nebraska,South Sioux City,42.47031,-96.413949,1,0,,"1/22/1970: Unknown perpetrators detonated an explosive device near a private home in South Sioux City, Nebraska, United States.  There were no casualties, however, a sizable hole was left in the house and windows were broken.  This attack was one of many instances of violence in South Sioux City during the Iowa Beef Packers strike.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,76,House/Apartment/Residence,Private residence,,217,United States,,,,,,,,,,,,,,,,,Strikers,,,,,,The attack occurred during the violent Iowa Beef Packers strike in South Sioux City.,0,,,0,-99,-99,0,,,,,,,,,,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Dynamite thrown at foundation of home,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,Sizable hole in the house and broken windows
197001250001,1970,1,25,,0,,217,United States,1,North America,Mississippi,West Point,33.60651,-88.650419,1,0,,"1/25/1970: Unknown perpetrators burnt down a building that was a meeting spot for African Americans in West Point, Mississippi, United States.  There were no injuries or fatalities.  The attack occurred amidst widespread disapproval of school desegregation by the White population of West Point.",1,1,1,1,2,Other Crime Type,0,1,0,7,Facility/Infrastructure Attack,,,,,14,Private Citizens & Property,71,Race/Ethnicity Identified,Building,Building used as a meeting place for African Americans.,217,United States,,,,,,,,,,,,,,,,,White extremists,,,,,,The motive of the attack was to prevent the African American community of West Point Mississippi from organizing.,0,,,0,-99,-99,0,,,,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,Building burnt down
197001250002,1970,1,25,,0,,217,United States,1,North America,New York,New York City,40.697132,-73.931351,1,0,Manhattan,"1/25/1970: Responding to what authorities believe was a fake report to lure police to Manhattan, New York, United States, Patrolmen William Kivlehan and Ralph Bax were shot at from a rooftop by unknown perpetrators after they got out of their car.  Officer Kivlehan was hit five times and officer Bax was hit three times.  Both policemen survived.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,3,Police,25,Police Security Forces/Officers,New York Police Department,New York Police Officers responding to a call in Harlem,217,United States,,,,,,,,,,,,,,,,,Black Nationalists,,,,,,To kill police,0,,,0,-99,-99,0,,,,,,,,,,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,Nine thirty-caliber cartridges from a carbine and eleven nine-millimeter shells,0,0,0,2,2,0,1,3,Minor (likely < $1 million),,One window in a building shattered
197001260001,1970,1,26,,0,,217,United States,1,North America,Mississippi,West Point,33.60651,-88.650419,1,0,,"1/26/1970: Unknown African American assailants, unsatisfied with the courts decision on desegregation, threw a stick of dynamite at the Clay County Courthouse in West Point, Mississippi, United States.  There were no injuries or fatalities but the windows of the building were shattered.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,2,Government (General),14,Judge/Attorney/Court,Courthouse,Clay County Courthouse,217,United States,,,,,,,,,,,,,,,,,Black Nationalists,,,,,,African American opposition to the school integration plan instituted by the federal government.  The government plan closed two Black schools.,0,,,0,-99,-99,0,,,,,,,,,,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,"Several sticks of dynamite were thrown, from a car, at the courthouse.",0,0,0,0,0,0,1,3,Minor (likely < $1 million),,Windows shattered
197001260003,1970,1,26,,0,,217,United States,1,North America,New York,New York City,40.697132,-73.931351,1,0,Queens,"1/26/1970: Police officer Joseph Blik was on foot patrol in Queens, New York, United States when two people in a car stopped to ask him for directions.  The perpetrators in the car immediately fired two shots at Officer Blik and then drove away.  Officer Blik was not hit.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,3,Police,23,Police Patrol (including vehicles and convoys),New York Police Department,New York Police Officer on patrol in Forest Hills,217,United States,,,,,,,,,,,,,,,,,Black Nationalists,,,,,,To kill police,0,,,0,-99,-99,0,,,,,,,,,,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,
197001270002,1970,1,27,,0,,217,United States,1,North America,Ohio,Norwalk,41.241996,-82.615241,1,0,,"1/27/1970: Unknown perpetrators broke into the Selective Service Offices located at the Citizens Bank Building in Norwalk, Ohio, United States.  The perpetrators took out the draft records and set them on fire.  The attack caused an estimated $8,800 in damages.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,2,Government (General),21,Government Building/Facility/Office,Selective Service,Selective Service office in Norwalk Ohio,217,United States,,,,,,,,,,,,,,,,,Left-Wing Militants,,,,,,Protest and sabotage the draft,0,,,0,-99,-99,0,,,,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),8800,Smoke damage
197001280001,1970,1,28,,0,,499,East Germany (GDR),9,Eastern Europe,Berlin,Berlin,52.50153,13.401851,1,0,,,1,1,1,-9,,,0,1,0,7,Facility/Infrastructure Attack,,,,,3,Police,25,Police Security Forces/Officers,,Residence of President of Penal Office,75,Germany,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Molotov cocktail,,,,,,,1,4,Unknown,,
197001280002,1970,1,28,,0,,217,United States,1,North America,Washington,Seattle,47.610786,-122.331306,1,0,Front of building,"1/28/1970: Unknown perpetrators detonated an explosive device at Temple De Hirsch in Seattle, Washington, United States.  There were no casualties but the building sustained $1,000 in damages.  During this time period, there were numerous bombings in the Seattle area.",1,1,1,1,2,Other Crime Type,0,1,0,3,Bombing/Explosion,,,,,15,Religious Figures/Institutions,86,Place of Worship,Jewish Synagogue,Temple De Hirsch,217,United States,,,,,,,,,,,,,,,,,White extremists,,,,,,,0,,,0,-99,-99,0,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),3000,Small hole in the door
197001300001,1970,1,30,,0,,217,United States,1,North America,Nebraska,South Sioux City,42.479999,-96.413046,1,0,210 East 10 St.,"1/30/1970: In a series of two incidents that were possibly related, unknown perpetrators detonated an explosive device at a building in South Sioux City, Nebraska, United States.  There were no casualties but the blast damaged the foundation of the building.  This attack was one of many instances of violence in South Sioux City during the Iowa Beef Packers strike.",1,1,1,0,,,1,1,0,3,Bombing/Explosion,,,,,20,Unknown,,,Unknown building,,217,United States,,,,,,,,,,,,,,,,,Strikers,,,,,,The attack occurred during the violent Iowa Beef Packers strike in South Sioux City.,0,,,0,-99,-99,0,,,,,,,,,,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Dynamite,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,Damaged foundation of building
197001300002,1970,1,30,,0,,217,United States,1,North America,Nebraska,South Sioux City,42.46634,-96.41405,1,0,2503 Dakota Ave.,"1/30/1970: In a series of two incidents that were possibly related, unknown perpetrators detonated an explosive device at the A & B Boat Shop in South Sioux City, Nebraska, United States.  There were no casualties but the blast caused $2,500 in damages.  This attack was one of many instances of violence in South Sioux City during the Iowa Beef Packers strike.",1,1,1,0,,,1,1,0,3,Bombing/Explosion,,,,,1,Business,7,Retail/Grocery/Bakery,,A & B Boat Shop,217,United States,,,,,,,,,,,,,,,,,Strikers,,,,,,The attack occurred during the violent Iowa Beef Packers strike in South Sioux City.,0,,,0,-99,-99,0,,,,,,,,,,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Dynamite,0,0,0,0,0,0,1,3,Minor (likely < $1 million),2500,
